Quarter,Maori_authority_worker_turnover_rate,Maori_SME_worker_turnover_rate,Maori_tourism_worker_turnover_rate
mar-13,16.53,18.11,20.42
jun-13,15.09,19.78,21.34
sep-13,15.39,20.67,22.68
Dec-13,13.89,20.47,19.70
mar-14,20.35,20.57,23.65
jun-14,17.16,19.69,22.14
sep-14,14.19,18.91,19.47
Dec-14,16.40,19.12,17.67
mar-15,16.61,19.01,22.63
jun-15,16.27,17.93,20.19
sep-15,13.38,19.03,17.96
Dec-15,14.29,18.94,17.74
mar-16,18.75,18.38,22.20
jun-16,16.80,19.79,19.73
sep-16,17.01,20.05,19.17
Dec-16,14.83,18.97,19.27
mar-17,20.22,18.74,25.01
jun-17,15.80,18.46,18.47
sep-17,14.27,19.52,17.71
Dec-17,14.81,19.24,19.58
