Year,Sheep,Breeding_sheep,Lambs_tailed_marked,Dairy_cattle,Milking_dairy_cows,Beef_cattle,Breeding_beef_cows,Deer
2006,1086984.00,808854.00,888937.00,49791.00,39621.00,149107.00,51935.00,25316.00
2007,1199370.00,865862.00,977172.00,59322.00,47619.00,153788.00,53153.00,23261.00
2008,988291.00,767283.00,902972.00,63226.00,47323.00,133279.00,46115.00,23699.00
2009,904670.00,666020.00,738382.00,61195.00,48524.00,123801.00,42459.00,19622.00
2010,866925.00,634694.00,735460.00,67452.00,53959.00,125319.00,45562.00,16030.00
2011,818937.00,612353.00,711263.00,73848.00,55612.00,123838.00,41549.00,15716.00
2012,910776.00,661274.00,782918.00,85800.00,67025.00,130630.00,43784.00,12235.00
2013,875248.00,621059.00,794246.00,86294.00,69190.00,123098.00,40737.00,12225.00
2014,730717.00,514591.00,616673.00,74331.00,60826.00,97206.00,33674.00,7312.00
2015,906301.00,619767.00,741251.00,95833.00,72758.00,113172.00,39743.00,8795.00
2016,856233.00,600355.00,761490.00,106380.00,82785.00,129357.00,39926.00,9587.00
2017,866569.00,595017.00,682167.00,97242.00,77345.00,133905.00,45159.00,8494.00
